Description,Accession,ALL_19769_B-cell,,ALL_23953_B-cell,,ALL_28373_B-cell,,ALL_9335_B-cell,,ALL_9692_B-cell,,ALL_14749_B-cell,,ALL_17281_B-cell,,ALL_19183_B-cell,,ALL_20414_B-cell,,ALL_21302_B-cell,,ALL_549_B-cell,,ALL_17929_B-cell,,ALL_20185_B-cell,,ALL_11103_B-cell,,ALL_18239_B-cell,,ALL_5982_B-cell,,ALL_7092_B-cell,,ALL_R11_B-cell,,ALL_R23_B-cell,,ALL_16415_T-cell,,ALL_19881_T-cell,,ALL_9186_T-cell,,ALL_9723_T-cell,,ALL_17269_T-cell,,ALL_14402_T-cell,,ALL_17638_T-cell,,ALL_22474_T-cell,,AML_12,,AML_13,,AML_14,,AML_16,,AML_20,,AML_1,,AML_2,,AML_3,,AML_5,,AML_6,,AML_7,,"
"
"L44L gene (L44-like ribosomal protein) extracted from Human Bruton's tyrosine kinase (BTK), alpha-D-galactosidase A (GLA), L44-like ribosomal protein (L44L) and FTP3 (FTP3) genes",U78027_rna3_at,13706,P,8763,P,10422,P,5719,P,6730,P,9521,P,11960,P,9607,P,10143,P,15669,P,7935,P,9499,P,16991,P,15947,P,5744,P,10460,P,9694,P,12521,P,7814,P,9660,P,7703,P,4923,P,8411,P,8439,P,9051,P,9640,P,6228,P,10764,P,7360,P,6312,P,7651,P,8906,P,12201,P,13176,P,12696,P,6232,P,8087,P,10119,P,"
"
DHPS Deoxyhypusine synthase,U79262_at,1013,P,1011,P,899,P,1068,P,1397,P,567,P,904,P,1179,P,895,P,1193,P,743,P,590,P,1319,P,302,P,558,P,1068,P,769,P,609,P,1018,P,690,P,1756,P,946,P,1324,P,941,P,796,P,1071,P,1043,P,697,P,817,P,755,P,927,P,956,P,796,P,365,P,813,P,885,P,781,P,1065,P,"
"
Heme A: farnesyltransferase (COX10) gene promoter region and,U82010_rna1_at,855,P,764,P,543,P,732,P,1151,P,396,P,582,P,592,P,648,P,1456,P,847,P,346,P,1023,P,426,P,411,P,1078,P,565,P,617,P,822,P,655,P,779,P,801,P,799,P,425,P,718,P,760,P,558,P,669,P,697,P,644,P,586,P,510,P,706,P,257,P,547,P,621,P,662,P,751,P,"
"
Glutathione transferase Zeta 1 (GSTZ1) mRNA,U86529_at,1067,P,1145,P,946,P,1024,P,1335,P,360,P,787,P,783,P,1039,P,1450,P,818,P,901,P,1455,P,543,P,818,P,909,P,1071,P,1096,P,1093,M,896,P,1260,P,661,P,915,P,654,P,808,P,508,P,830,M,1022,P,1120,P,904,P,1253,P,1446,P,1071,P,1164,P,964,P,706,M,1111,P,1601,P,"
"
Glutathione-S-transferase homolog mRNA,U90313_at,1112,P,1275,P,1171,P,1211,P,966,P,859,P,1155,P,1368,P,1271,P,2027,P,992,P,468,P,1413,P,1334,P,707,P,997,P,843,P,880,P,830,P,2015,P,2292,P,1390,P,1920,P,1248,P,1084,P,949,P,1169,P,1133,P,1675,P,1497,P,1691,P,850,P,1382,P,1649,P,1360,P,1510,P,1299,P,2272,P,"
"
Nuclear RNA helicase,U90426_at,710,P,646,P,899,P,641,P,1049,P,353,P,894,P,992,P,758,P,870,P,371,P,722,P,1204,P,663,P,768,P,1100,P,411,P,854,P,747,P,1308,P,1561,P,937,P,1236,P,1680,P,2149,P,1197,P,1288,P,1548,P,1098,P,1748,P,688,P,644,P,1238,P,512,P,1935,P,822,P,987,P,712,P,"
"
Clone 23722 mRNA sequence,U90909_at,800,P,491,P,872,P,564,P,568,P,349,P,1327,P,678,P,489,P,1122,P,524,P,606,P,1315,P,2062,P,1488,P,811,P,637,P,1036,P,633,P,1169,P,609,P,275,P,929,P,880,P,1252,P,640,P,631,P,610,P,428,P,967,P,714,P,1091,P,1081,P,668,P,1144,P,541,P,773,P,1906,P,"
"
COX4 Cytochrome c oxidase subunit IV,U90915_at,3970,P,4276,P,5157,P,3536,P,3011,P,2517,P,2997,P,5713,P,4165,P,3891,P,3695,P,3455,P,9422,P,4026,P,3776,P,4752,P,2928,P,3849,P,2529,P,5018,P,4857,P,3618,P,7355,P,4508,P,6178,P,4979,P,2488,P,3253,P,2327,P,6688,P,6215,P,4475,P,4269,P,4585,P,8755,P,3496,P,3974,P,4718,P,"
"
Clathrin coat assembly protein-like,U91932_at,896,P,808,P,1344,P,870,P,500,P,563,P,1707,P,1348,P,1521,P,1063,P,852,P,1080,P,1534,P,1339,P,211,P,1143,P,397,P,988,P,528,P,692,P,620,P,378,P,1174,P,883,P,781,P,743,P,342,P,740,P,351,P,1419,P,850,P,618,P,789,P,724,P,1658,P,799,P,449,P,1179,P,"
"
Nuclear chloride ion channel protein (NCC27) mRNA,U93205_at,6722,P,5853,P,8056,P,4385,P,1758,P,3623,P,5120,P,6254,P,5609,P,5748,P,2697,P,1145,P,6607,P,94,P,1852,P,5507,P,2714,P,5491,P,1717,P,5853,P,5487,P,3010,P,8969,P,5959,P,6588,P,5198,P,2388,P,6082,P,1413,P,7022,P,6440,P,3527,P,6812,P,7557,P,9707,P,6195,P,6507,P,7865,P,"
"
"Autoantigen DFS70 mRNA, partial cds",U94319_at,687,P,184,M,641,P,255,P,320,P,153,P,1110,P,1135,P,913,P,1611,P,843,P,921,P,1521,P,976,P,159,P,580,P,311,P,348,P,204,P,1664,P,571,P,817,P,1607,P,986,P,374,P,783,P,771,P,271,P,250,P,339,P,305,P,388,P,660,P,351,P,328,P,383,P,962,P,279,P,"
"
NADH:ubiquinone oxidoreductase MLRQ subunit mRNA,U94586_at,1621,P,1607,P,2935,P,1325,P,1323,P,760,P,2416,P,2353,P,2188,P,2589,P,1479,P,1230,P,5438,P,5695,P,1620,P,2612,P,1134,P,1048,P,1274,P,3419,P,3854,P,1678,P,2436,P,2650,P,4119,P,3236,P,2109,P,1692,P,1748,P,2411,P,1559,P,1277,P,3191,P,3068,P,3217,P,2292,P,2836,P,1836,P,"
"
Translation initiation factor 3 47 kDa subunit mRNA,U94855_at,3785,P,2568,P,4749,P,2369,P,2313,P,2814,P,6266,P,6025,P,3966,P,3054,P,3509,P,2210,P,8388,P,2947,P,2160,P,3511,P,3656,P,3415,P,1947,P,3794,P,1425,P,2260,P,4940,P,2527,P,4712,P,2958,P,2126,P,2137,P,1281,P,1772,P,2800,P,2350,P,2346,P,2852,P,3301,P,2329,P,2581,P,2311,P,"
"
"Unknown protein mRNA, partial cds",U95040_at,4220,P,3711,P,4150,P,5282,P,4695,P,1881,P,4691,P,5916,P,3922,P,7608,P,3041,P,3902,P,7648,P,689,M,2556,P,4744,P,2325,P,5673,P,4275,P,4951,P,4688,P,5457,P,8664,P,3891,P,7220,P,3677,P,5755,P,5342,P,3241,P,3606,P,2830,P,4977,P,5356,P,2600,P,2939,P,4259,P,4761,P,3724,P,"
"
Sin3 associated polypeptide p18 (SAP18) mRNA,U96915_at,641,P,601,P,2210,P,423,P,317,P,754,P,944,P,2202,P,1038,P,1234,P,564,P,546,P,2508,P,960,P,720,P,1408,P,1306,P,467,P,178,P,2175,P,1496,P,743,P,1633,P,1503,P,2369,P,815,P,673,P,569,P,319,P,892,P,1005,P,566,P,1590,P,1155,P,1275,P,711,P,1045,P,545,P,"
"
PGK1 Phosphoglycerate kinase 1,V00572_at,2933,P,2232,P,5538,P,2745,P,2866,P,5402,P,5584,P,5017,P,3391,P,11416,P,3666,P,1925,P,4657,P,4496,P,1114,P,4150,P,2480,P,2904,P,2783,P,6754,P,5511,P,4157,P,6813,P,3882,P,4468,P,4386,P,1917,P,3836,P,2589,P,5531,P,3221,P,2506,P,4298,P,3061,P,5472,P,4044,P,4525,P,5737,P,"
"
Cellular oncogene c-fos (complete sequence),V01512_rna1_at,1383,P,677,P,5073,P,4182,P,1029,P,1727,P,5205,P,5480,P,2270,P,3927,P,899,P,2754,P,6408,P,5759,P,1672,P,3534,P,12448,P,7583,P,1725,P,5615,P,393,P,421,P,1414,P,2047,P,1039,P,774,P,179,P,2339,P,233,P,5859,P,4363,P,1371,P,8230,P,941,P,3990,P,405,P,3955,P,7372,P,"
"
"HLA CLASS II HISTOCOMPATIBILITY ANTIGEN, DR ALPHA CHAIN PRECURSOR",X00274_at,19748,P,13356,P,13769,P,10249,P,21432,P,12115,P,22819,P,17537,P,15788,P,11024,P,24729,P,20761,P,17103,P,14610,P,22204,P,9988,P,14157,P,19293,P,9890,P,7657,P,1031,P,1749,P,1432,P,2274,P,461,P,3274,P,867,P,5095,P,14176,P,15600,P,13090,P,943,P,13273,P,9066,P,17423,P,16543,P,15834,P,17500,P,"
"
LDHA Lactate dehydrogenase A,X02152_at,2824,P,4850,P,7811,P,5427,P,1893,P,4622,P,5028,P,6167,P,4964,P,11680,P,7236,P,5041,P,9237,P,2402,P,1508,P,7049,P,4960,P,4296,P,2822,P,6881,P,8645,P,5512,P,12325,P,6144,P,6884,P,6143,P,3638,P,2969,P,3282,P,7080,P,2899,P,2304,P,5188,P,5446,P,8551,P,6225,P,6163,P,7102,P,"
"
SOD1 Superoxide dismutase 1 (Cu/Zn),X02317_at,1598,P,2087,P,2236,P,1271,P,1371,P,6234,P,4869,P,2848,P,2163,P,3908,P,700,P,1907,P,3279,P,3871,P,648,P,2354,P,7059,P,1294,P,1038,P,2925,P,4253,P,1726,P,3106,P,2245,P,3077,P,3577,P,1850,P,1097,P,860,P,1529,P,2394,P,1762,P,2733,P,1186,P,1960,P,1492,P,2188,P,1384,P,"
"
RPL32 Ribosomal protein L32,X03342_at,21379,P,23566,P,23755,P,21306,P,22927,P,24324,P,22446,P,21837,P,24185,P,23450,P,22778,P,24184,P,18984,P,23719,P,22501,P,23188,P,24469,P,21799,P,24381,P,22493,P,20700,P,15301,P,22485,P,24288,P,23136,P,22332,P,23346,P,22799,P,22720,P,19777,P,22535,P,25397,P,21879,P,27491,P,20855,P,22588,P,23322,P,23130,P,"
"
"Catalase (EC 1.11.1.6) 5'flank and exon 1 mapping to chromosome 11, band p13 (and joined CDS)",X04085_rna1_at,1057,P,1655,P,2000,P,6132,P,775,P,294,P,1220,P,1990,P,1143,P,2472,P,220,P,1271,P,4002,P,1781,P,350,P,3970,P,747,P,773,P,115,M,1395,P,823,P,537,P,633,P,464,P,628,P,662,P,434,P,5880,P,2140,P,5171,P,2886,P,4680,P,3077,P,6001,P,5064,P,7260,P,2027,P,3070,P,"
"
TPM4 Tropomyosin 4 (fibroblast),X05276_at,1323,P,3723,P,2855,P,1875,P,3656,P,1928,P,1496,P,2673,P,2691,P,4018,P,1301,P,2048,P,5210,P,147,P,863,P,3461,P,1896,P,832,P,289,P,3229,P,1541,P,622,P,1102,P,570,P,718,P,1318,P,736,P,498,P,752,P,364,P,964,P,1904,P,1611,P,975,P,915,P,1552,P,2403,P,2399,P,"
"
RPS11 Ribosomal protein S11,X06617_at,19910,P,20830,P,22607,P,19700,P,23738,P,24502,P,21692,P,20364,P,22270,P,16500,P,16975,P,21930,P,13746,P,22892,P,22443,P,19823,P,23429,P,21466,P,22915,P,16862,P,19576,P,23246,P,19372,P,21778,P,20866,P,20015,P,21961,P,19923,P,16785,P,17591,P,20989,P,23034,P,19967,P,24754,P,17884,P,21153,P,21092,P,19320,P,"
"
ALDOA Aldolase A,X12447_at,1930,P,3499,P,6697,P,4879,P,1361,M,5472,P,5597,P,8104,P,5848,P,8688,P,8517,P,5473,P,9715,P,1676,P,1333,P,3317,P,3635,P,6591,P,4388,P,4851,P,3096,P,3703,P,8379,P,8794,P,4986,P,4222,P,2009,P,8226,P,4008,P,12080,P,9226,P,4845,P,3260,P,6033,P,8371,P,10576,P,7243,P,7725,P,"
"
COX6C Cytochrome c oxidase subunit VIc,X13238_at,2248,P,1774,P,2946,P,1300,P,990,P,1330,P,3383,P,2877,P,2668,P,2879,P,1707,P,1161,P,4748,P,5715,P,1303,P,1920,P,1463,P,1482,P,1188,P,3202,P,4450,P,1458,P,3142,P,2113,P,4149,P,2512,P,2137,P,1037,P,1161,P,1865,P,1645,P,1308,P,1802,P,2262,P,2228,P,1476,P,1682,P,1931,P,"
"
U2 SMALL NUCLEAR RIBONUCLEOPROTEIN A',X13482_at,722,P,402,P,667,P,226,P,449,P,504,P,506,P,613,P,455,P,664,P,454,P,379,P,848,P,815,P,882,P,600,P,974,P,430,P,305,P,799,P,997,P,636,P,875,P,584,P,1155,P,601,P,734,P,572,P,351,P,586,P,374,P,747,P,725,P,390,P,633,P,487,P,457,P,474,P,"
"
Put. HMG-17 protein gene extracted from Human HMG-17 gene for non-histone chromosomal protein HMG-17,X13546_rna1_at,3535,P,3145,P,4057,P,3002,P,757,P,2242,P,6595,P,6641,P,2125,P,6513,P,1169,P,2695,P,3638,P,3644,P,2476,P,4311,P,2840,P,2010,P,1650,P,2886,P,8396,P,5921,P,10991,P,9243,P,5546,P,3570,P,5378,P,1329,P,2154,P,5852,P,4751,P,3749,P,4239,P,3006,P,6806,P,2767,P,2982,P,2499,P,"
"
Lactate dehydrogenase B gene exon 1 and 2 (EC 1.1.1.27) (and joined CDS),X13794_rna1_at,2583,P,3363,P,5697,P,2765,P,1906,P,1369,P,2681,P,4386,P,4146,P,10502,P,4332,P,2584,P,9567,P,3641,P,1920,P,4301,P,2432,P,1722,P,2406,P,6125,P,8613,P,3965,P,9144,P,5825,P,7146,P,7458,P,4427,P,4845,P,1175,P,2151,P,3019,P,2149,P,4956,P,4624,P,4589,P,3346,P,1495,P,2656,P,"
"
60S RIBOSOMAL PROTEIN L13,X15183_at,4243,P,9425,P,8511,P,5430,P,6676,P,5260,P,14431,P,10198,P,7076,P,11963,P,2410,P,6684,P,13111,P,13571,P,2983,P,6424,P,9711,P,5614,P,3189,P,8548,P,11549,P,5811,P,10093,P,13105,P,8437,P,6763,P,6963,P,5144,P,3238,P,3228,P,6031,P,4536,P,4861,P,4405,P,12581,P,4784,P,5556,P,6496,P,"
"
CYTOCHROME C OXIDASE POLYPEPTIDE VIA-LIVER PRECURSOR,X15341_at,4290,P,4051,P,5084,P,3456,P,3232,P,2786,P,6259,P,6167,P,5794,P,5139,P,2688,P,3768,P,8686,P,5546,P,3118,P,5583,P,3388,P,4499,P,3000,P,6798,P,8822,P,4890,P,8537,P,7794,P,7803,P,5654,P,4765,P,2566,P,2620,P,4974,P,4808,P,4193,P,3603,P,4556,P,6618,P,4117,P,3943,P,2912,P,"
"
COX7A2 Cytochrome c oxidase VIIa subunit (liver specific),X15822_at,2095,P,1902,P,4269,P,1996,P,2575,P,1790,P,3450,P,3499,P,2595,P,3637,P,1758,P,1537,P,8151,P,5455,P,1038,P,2454,P,2296,P,2683,P,1639,P,5601,P,4911,P,2795,P,5748,P,4443,P,4682,P,2901,P,2128,P,2308,P,1291,P,2698,P,2519,P,2743,P,2459,P,4132,P,3601,P,2292,P,2366,P,1941,P,"
"
RPL31 Ribosomal protein L31,X15940_at,16669,P,19541,P,18931,P,21393,P,18734,P,19702,P,15582,P,18378,P,18787,P,19535,P,16728,P,17937,P,15903,P,25949,P,18277,P,18692,P,19643,P,17017,P,19872,P,18441,P,15835,P,15068,P,17661,P,17614,P,19220,P,18294,P,16014,P,19838,P,21787,P,15556,P,19067,P,20303,P,17677,P,20810,P,18198,P,18344,P,18031,P,19897,P,"
"
TRANSLATIONALLY CONTROLLED TUMOR PROTEIN,X16064_at,21116,P,22535,P,22059,P,25787,P,28069,P,23238,P,21759,P,20200,P,20830,P,21118,P,17371,P,21564,P,18383,P,23336,P,23347,P,23942,P,24476,P,20942,P,19968,P,21199,P,21903,P,21473,P,19719,P,19534,P,22264,P,21121,P,23419,P,22739,P,23874,P,22307,P,21088,P,23339,P,20091,P,19339,P,21211,P,20569,P,22205,P,22700,P,"
"
HETEROGENEOUS NUCLEAR RIBONUCLEOPROTEIN L,X16135_at,3490,P,2535,P,1419,P,3394,P,3061,P,1569,P,3570,P,2518,P,3388,P,5651,P,1875,P,3401,P,7060,P,2667,P,2181,P,2472,P,2098,P,2428,P,2387,P,3312,P,2656,P,2437,P,5306,P,3284,P,3173,P,3069,P,2455,P,2131,P,1837,P,2527,P,3103,P,3305,P,2861,P,2004,P,2486,P,2879,P,3411,P,2684,P,"
"
COX7C Cytochrome c oxidase VIIc subunit,X16560_at,4108,P,3023,P,5874,P,1828,P,1701,P,2229,P,3402,P,5239,P,4513,P,4403,P,3827,P,3846,P,8945,P,8932,P,1886,P,3325,P,3133,P,5062,P,2060,P,2874,P,5518,P,2877,P,6133,P,3920,P,4745,P,6187,P,3977,P,3379,P,3056,P,2285,P,2682,P,2534,P,2142,P,4220,P,4835,P,2775,P,2816,P,2191,P,"
"
"PRG1 Proteoglycan 1, secretory granule",X17042_at,177,P,392,P,7972,P,403,P,140,P,5252,P,2408,P,2133,P,1232,P,1150,P,1232,P,1519,P,180,P,1912,P,354,P,1687,P,3711,P,1751,P,290,P,3460,P,416,P,597,P,848,P,1094,P,1343,P,2525,P,179,P,8521,P,3628,P,10620,P,8477,P,1285,P,7857,P,8860,P,11000,P,5848,P,3259,P,8849,P,"
"
PTB Ribosomal protein L26,X17206_at,22525,P,24663,P,27143,P,29490,P,25854,P,29510,P,21499,P,24111,P,24228,P,23984,P,28111,P,23940,P,20650,P,17827,P,24089,P,25469,P,24587,P,25363,P,27322,P,24045,P,21949,P,29898,P,23587,P,27532,P,25963,P,24068,P,25460,P,24419,P,27110,P,21561,P,26294,P,29164,P,25143,P,27315,P,23075,P,27501,P,24711,P,26708,P,"
"
EEF2 Eukaryotic translation elongation factor 2,X51466_at,12044,P,13014,P,15389,P,15936,P,10863,P,7788,P,12270,P,12687,P,12413,P,11798,P,13824,P,13402,P,13964,P,3736,P,13276,P,14634,P,13341,P,12052,P,7139,P,11970,P,10112,P,10185,P,12892,P,13247,P,15691,P,13296,P,11981,P,12730,P,9141,P,10813,P,12303,P,14201,P,11694,P,9637,P,11770,P,12533,P,11888,P,12074,P,"
"
VIL2 Villin 2 (ezrin),X51521_at,3989,P,3637,P,3245,P,3321,P,4252,P,2952,P,4956,P,4438,P,2005,P,3780,P,3429,P,2568,P,4758,P,2264,P,11799,P,4330,P,2358,P,3872,P,2065,P,2774,P,3692,P,2272,P,8349,P,4432,P,7186,P,1806,P,1491,P,990,P,1009,P,1446,P,1198,P,1460,P,2345,P,792,P,2579,P,1001,P,2039,P,3312,P,"
"
Peptidylprolyl isomerase gene extracted from Human cyclophilin gene for cyclophilin (EC 5.2.1.8),X52851_rna1_at,11370,P,10577,P,13723,P,8535,P,11070,P,6001,P,10173,P,13382,P,11270,P,12818,P,8316,P,6452,P,13603,P,7740,P,4060,P,12022,P,6613,P,9410,P,5971,P,12714,P,17961,P,10909,P,15427,P,13268,P,13033,P,13239,P,10787,P,7243,P,6648,P,10299,P,8232,P,6674,P,9504,P,7227,P,11764,P,7805,P,7943,P,7042,P,"
"
"T-COMPLEX PROTEIN 1, ALPHA SUBUNIT",X52882_at,1127,P,1159,P,2041,P,636,P,1085,P,343,P,2466,P,1761,P,1012,P,2329,P,756,P,1095,P,3789,P,2126,P,882,P,1608,P,1113,P,511,P,621,P,1709,P,1498,P,782,P,2453,P,1765,P,2068,P,1894,P,890,P,1096,P,610,P,1011,P,850,P,1461,P,1321,P,832,P,2795,P,808,P,893,P,925,P,"
"
RPL35A Ribosomal protein L35a,X52966_at,8900,P,9961,P,10216,P,7663,P,6539,P,5576,P,5740,P,9648,P,9953,P,8123,P,7578,P,8795,P,12861,P,13268,P,7646,P,8162,P,9670,P,7904,P,2981,P,10842,P,9648,P,7123,P,10764,P,9517,P,6339,P,10611,P,8105,P,9759,P,7420,P,8480,P,9213,P,12475,P,10958,P,5914,P,9997,P,9136,P,11471,P,10859,P,"
"
60S RIBOSOMAL PROTEIN L23,X53777_at,13517,P,12530,P,16087,P,5887,P,9639,P,10990,P,14547,P,14177,P,15577,P,15487,P,8326,P,14594,P,17884,P,15679,P,9341,P,13448,P,14106,P,13504,P,11132,P,13586,P,7365,P,5316,P,13964,P,10317,P,14289,P,15205,P,6057,P,14388,P,8504,P,5591,P,13339,P,15952,P,12718,P,12779,P,12920,P,10187,P,11175,P,10619,P,"
"
RPS3 Ribosomal protein S3,X55715_at,15190,P,16832,P,18566,P,12243,P,16439,P,16618,P,15762,P,16605,P,18452,P,17747,P,16910,P,16485,P,15328,P,13202,P,14975,P,15259,P,17430,P,16575,P,21163,P,12910,P,14508,P,13407,P,16947,P,17451,P,15079,P,17078,P,10695,P,18742,P,15641,P,16744,P,18880,P,21400,P,18195,P,19299,P,17801,P,16870,P,16011,P,19864,P,"
"
EUKARYOTIC INITIATION FACTOR 4B,X55733_at,2260,P,2432,P,2687,P,1875,P,2836,P,2369,P,2625,P,3282,P,3281,P,4111,P,3970,P,2863,P,8001,P,3875,P,1723,P,2068,P,1804,P,4456,P,3156,P,2392,P,1336,P,2164,P,6181,P,2161,P,3527,P,3049,P,1542,P,2707,P,1084,P,1353,P,2951,P,2046,P,4194,P,2487,P,3076,P,2970,P,3647,P,3262,P,"
"
RPL17 Ribosomal protein L17,X55954_at,15895,P,16878,P,17483,P,14180,P,15676,P,16422,P,15839,P,14445,P,16909,P,15351,P,13991,P,17804,P,14882,P,18850,P,15888,P,15137,P,15363,P,15302,P,18691,P,15047,P,14751,P,12273,P,15076,P,15817,P,16938,P,16363,P,16110,P,15655,P,13433,P,13902,P,16131,P,16650,P,14811,P,16576,P,15459,P,14961,P,15428,P,14807,P,"
"
MPR46 gene for 46kd mannose 6-phosphate receptor,X56253_rna1_at,1123,P,1309,P,1316,P,1245,P,1020,P,807,P,1071,P,1308,P,1033,P,4051,P,1138,P,1324,P,2110,P,562,M,928,P,1082,P,858,P,774,P,1454,P,1552,P,1842,P,921,P,1339,P,615,P,826,P,1516,P,842,P,1495,P,1481,P,1830,P,1242,P,1487,P,1107,P,1875,P,1031,P,1595,P,1644,P,2102,P,"
"
14-3-3 PROTEIN TAU,X56468_at,2689,P,1894,P,4091,P,1545,P,2011,P,1521,P,3147,P,2927,P,3089,P,4059,P,1641,P,1881,P,4738,P,4687,P,1667,P,2657,P,1685,P,1114,P,1232,P,3072,P,4172,P,2133,P,5838,P,3043,P,4143,P,3041,P,2243,P,1220,P,1108,P,1378,P,1862,P,1618,P,2105,P,1280,P,2611,P,1644,P,2064,P,1916,P,"
"
LCAT Lecithin-cholesterol acyltransferase,X56932_at,21121,P,22197,P,22414,P,25127,P,25435,P,22288,P,21630,P,19980,P,24893,P,20206,P,20749,P,23282,P,20202,P,25685,P,23344,P,22077,P,23918,P,22778,P,24162,P,21146,P,23195,P,24183,P,21725,P,24325,P,23551,P,23816,P,25169,P,22183,P,23306,P,20301,P,21726,P,23389,P,20881,P,22387,P,21321,P,21078,P,22941,P,21705,P,"
"
UbA52 gene coding for ubiquitin-52 amino acid fusion protein,X56997_rna1_at,11777,P,13358,P,13239,P,12063,P,10007,P,8309,P,11219,P,15412,P,14594,P,11749,P,10134,P,13208,P,14517,P,19796,P,11148,P,12534,P,11803,P,14071,P,9596,P,13550,P,13407,P,12392,P,13532,P,15077,P,13016,P,14125,P,11629,P,13430,P,10885,P,13729,P,11059,P,12708,P,12507,P,10360,P,13936,P,13394,P,14362,P,12351,P,"
"
"YWHAB Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide",X57346_at,1873,P,2231,P,3229,P,1918,P,1728,P,965,P,1328,P,3714,P,1393,P,1924,P,615,P,583,P,2360,P,1858,P,812,P,2699,P,1345,P,1278,P,680,P,2057,P,2550,P,3010,P,4118,P,1114,P,1170,P,2634,P,1647,P,1168,P,875,P,2288,P,2051,P,1316,P,1121,P,1193,P,2038,P,1961,P,1999,P,1720,P,"
"
RPL17 Ribosomal protein L7,X57959_at,8650,P,10787,P,12331,P,6650,P,5964,P,5458,P,9355,P,9030,P,9582,P,13423,P,8811,P,9498,P,15287,P,8450,P,6926,P,9179,P,8720,P,9549,P,6119,P,10783,P,6293,P,3840,P,9862,P,9371,P,9857,P,10192,P,5875,P,9696,P,7016,P,5661,P,7143,P,10779,P,9292,P,6899,P,9625,P,6688,P,6689,P,10878,P,"
"
PROTEASOME IOTA CHAIN,X59417_at,3016,P,3821,P,5216,P,5527,P,2073,P,846,P,7743,P,7288,P,6084,P,2454,P,1273,P,6483,P,7626,P,5746,P,699,P,3840,P,3877,P,3262,P,1810,P,3424,P,7721,P,4194,P,7780,P,5206,P,6540,P,1756,P,2461,P,782,P,490,P,1650,P,528,P,99,P,1203,P,1561,P,1628,P,1783,P,1214,P,1582,P,"
"
"PHC Phosphate carrier, mitochondrial",X60036_at,4615,P,4858,P,6391,P,4129,P,3929,P,2447,P,3099,P,6915,P,5539,P,5873,P,3681,P,4513,P,10233,P,3722,P,4826,P,5403,P,2318,P,3472,P,3357,P,4999,P,4415,P,2937,P,7573,P,3851,P,5075,P,4105,P,3720,P,4650,P,2882,P,4446,P,5111,P,5984,P,5205,P,4336,P,5155,P,4356,P,3970,P,4772,P,"
"
"ATP5F1 ATP synthase, H+ transporting, mitochondrial F0 complex, subunit b, isoform 1",X60221_at,2126,P,2160,P,3061,P,2286,P,1214,P,1191,P,1819,P,3211,P,2590,P,2048,P,1339,P,1500,P,4702,P,2903,P,949,P,2424,P,1323,P,1478,P,808,P,2651,P,3331,P,1836,P,3699,P,1862,P,1955,P,2678,P,1785,P,1434,P,728,P,1762,P,1795,P,1734,P,2033,P,2039,P,2906,P,1893,P,1935,P,1879,P,"
"
Elongation factor-1-beta,X60489_at,7396,P,8151,P,10567,P,6497,P,6305,P,3664,P,7182,P,11307,P,10062,P,13327,P,7170,P,8006,P,14720,P,19176,P,5469,P,10353,P,7332,P,7677,P,7948,P,7655,P,7188,P,4735,P,12002,P,8116,P,13283,P,12445,P,5326,P,12400,P,9141,P,7065,P,8725,P,11181,P,13339,P,9959,P,10116,P,7147,P,8936,P,11370,P,"
"
PROTEASOME ZETA CHAIN,X61970_at,1286,P,1354,P,1566,P,846,P,617,P,452,P,903,P,1865,P,1535,P,1763,P,1104,P,805,P,1923,P,293,P,305,P,1184,P,600,P,612,P,663,P,874,P,2111,P,1262,P,1399,P,816,P,637,P,1060,P,805,P,617,P,656,P,747,P,574,P,464,P,627,P,646,P,718,P,670,P,468,P,477,P,"
"
"PTPN6 Protein tyrosine phosphatase, non-receptor type 6",X62055_at,2414,P,3298,P,3785,P,1683,P,1062,P,738,P,1085,P,2709,P,2325,P,1996,P,844,P,581,P,1735,P,223,P,431,P,3143,P,424,P,1413,P,791,P,2225,P,2094,P,1696,P,3714,P,1320,P,1242,P,3893,P,987,P,3111,P,882,P,2260,P,1079,P,522,P,964,P,1753,P,2268,P,2872,P,2487,P,1249,P,"
"
40S RIBOSOMAL PROTEIN S15A,X62691_at,17558,P,18403,P,18893,P,14691,P,15938,P,13729,P,16268,P,18585,P,19518,P,18721,P,19468,P,20026,P,15426,P,18597,P,17077,P,19061,P,17685,P,15453,P,13247,P,18299,P,18925,P,14762,P,17718,P,20076,P,19657,P,18997,P,16263,P,19734,P,13008,P,16247,P,18529,P,21211,P,18556,P,22223,P,18521,P,16525,P,20589,P,19626,P,"
"
GAPD Glyceraldehyde-3-phosphate dehydrogenase,X63527_at,19184,P,23086,P,22787,P,23443,P,24579,P,23022,P,20438,P,21296,P,21241,P,21977,P,18874,P,20045,P,19551,P,20337,P,23477,P,21318,P,23876,P,19039,P,22710,P,20867,P,20113,P,22405,P,21373,P,20666,P,22234,P,21834,P,24774,P,20521,P,22246,P,20153,P,21135,P,21712,P,19777,P,23198,P,20703,P,20908,P,20610,P,20528,P,"
"
